models,topic,correct_total,correct_number,correct units,correct_formula,% of correct numbers,% of correct formula,% of correct units,,,,Problems count
stepfun/step-3.5-flash,optics,4,1,3,0,4.00%,0.00%,12.00%,,,,
stepfun/step-3.5-flash,thermodynamics,7,3,4,0,12.00%,0.00%,16.00%,,,,
x-ai/grok-4.20,electrostatics,4,1,3,0,4.00%,0.00%,12.00%,,,,
x-ai/grok-4.20,mechanics,5,1,3,1,4.00%,4.00%,12.00%,,,,
x-ai/grok-4.20,nuclear,6,1,5,0,4.00%,0.00%,20.00%,,,,
x-ai/grok-4.20,optics,4,0,4,0,0.00%,0.00%,16.00%,,,,
x-ai/grok-4.20,thermodynamics,4,0,4,0,0.00%,0.00%,16.00%,,,,
xiaomi/mimo-v2.5-pro,electrostatics,7,3,4,0,12.00%,0.00%,16.00%,,,,
xiaomi/mimo-v2.5-pro,mechanics,8,4,3,1,16.00%,4.00%,12.00%,,,,
xiaomi/mimo-v2.5-pro,nuclear,7,1,5,1,4.00%,4.00%,20.00%,,,,
xiaomi/mimo-v2.5-pro,optics,1,0,1,0,0.00%,0.00%,4.00%,,,,
xiaomi/mimo-v2.5-pro,thermodynamics,8,4,4,0,16.00%,0.00%,16.00%,,,,
