models,topic,correct_total,correct_number,correct units,correct_formula,% of correct numbers,% of correct formula,% of correct units,,,,Problems count
openai/gpt-5.4,electrostatics,4,1,3,0,4.00%,0.00%,12.00%,,,,
openai/gpt-5.4,mechanics,4,1,3,0,4.00%,0.00%,12.00%,,,,
openai/gpt-5.4,nuclear,3,0,3,0,0.00%,0.00%,12.00%,,,,
openai/gpt-5.4,optics,4,1,3,0,4.00%,0.00%,12.00%,,,,
openai/gpt-5.4,thermodynamics,2,0,2,0,0.00%,0.00%,8.00%,,,,
openai/gpt-oss-120b,electrostatics,5,1,4,0,4.00%,0.00%,16.00%,,,,
openai/gpt-oss-120b,mechanics,6,3,3,0,12.00%,0.00%,12.00%,,,,
openai/gpt-oss-120b,nuclear,5,1,4,0,4.00%,0.00%,16.00%,,,,
openai/gpt-oss-120b,optics,2,1,1,0,4.00%,0.00%,4.00%,,,,
openai/gpt-oss-120b,thermodynamics,6,2,4,0,8.00%,0.00%,16.00%,,,,
openai/o4-mini-high,electrostatics,6,2,4,0,8.00%,0.00%,16.00%,,,,
openai/o4-mini-high,mechanics,7,3,3,1,12.00%,4.00%,12.00%,,,,
openai/o4-mini-high,nuclear,5,1,4,0,4.00%,0.00%,16.00%,,,,
openai/o4-mini-high,optics,6,2,4,0,8.00%,0.00%,16.00%,,,,
openai/o4-mini-high,thermodynamics,6,2,4,0,8.00%,0.00%,16.00%,,,,
qwen/qwen3.5-397b-a17b,electrostatics,6,1,4,1,4.00%,4.00%,16.00%,,,,
qwen/qwen3.5-397b-a17b,mechanics,7,3,4,0,12.00%,0.00%,16.00%,,,,
qwen/qwen3.5-397b-a17b,nuclear,5,1,4,0,4.00%,0.00%,16.00%,,,,
qwen/qwen3.5-397b-a17b,optics,5,2,3,0,8.00%,0.00%,12.00%,,,,
qwen/qwen3.5-397b-a17b,thermodynamics,5,0,5,0,0.00%,0.00%,20.00%,,,,
qwen/qwen3.6-plus,electrostatics,7,2,4,1,8.00%,4.00%,16.00%,,,,
qwen/qwen3.6-plus,mechanics,6,3,3,0,12.00%,0.00%,12.00%,,,,
qwen/qwen3.6-plus,nuclear,6,1,4,1,4.00%,4.00%,16.00%,,,,
qwen/qwen3.6-plus,optics,6,2,4,0,8.00%,0.00%,16.00%,,,,
qwen/qwen3.6-plus,thermodynamics,6,1,5,0,4.00%,0.00%,20.00%,,,,
stepfun/step-3.5-flash,electrostatics,5,1,4,0,4.00%,0.00%,16.00%,,,,
stepfun/step-3.5-flash,mechanics,5,3,2,0,12.00%,0.00%,8.00%,,,,
stepfun/step-3.5-flash,nuclear,5,0,4,1,0.00%,4.00%,16.00%,,,,
stepfun/step-3.5-flash,optics,4,1,3,0,4.00%,0.00%,12.00%,,,,
stepfun/step-3.5-flash,thermodynamics,4,0,4,0,0.00%,0.00%,16.00%,,,,
x-ai/grok-4.20,electrostatics,4,1,3,0,4.00%,0.00%,12.00%,,,,
x-ai/grok-4.20,mechanics,5,0,4,1,0.00%,4.00%,16.00%,,,,
x-ai/grok-4.20,nuclear,4,0,4,0,0.00%,0.00%,16.00%,,,,
x-ai/grok-4.20,optics,6,2,4,0,8.00%,0.00%,16.00%,,,,
x-ai/grok-4.20,thermodynamics,4,0,4,0,0.00%,0.00%,16.00%,,,,
xiaomi/mimo-v2.5-pro,electrostatics,4,1,3,0,4.00%,0.00%,12.00%,,,,
xiaomi/mimo-v2.5-pro,mechanics,6,3,3,0,12.00%,0.00%,12.00%,,,,
xiaomi/mimo-v2.5-pro,nuclear,5,1,4,0,4.00%,0.00%,16.00%,,,,
xiaomi/mimo-v2.5-pro,optics,8,3,5,0,12.00%,0.00%,20.00%,,,,
xiaomi/mimo-v2.5-pro,thermodynamics,4,0,4,0,0.00%,0.00%,16.00%,,,,
