models,topic,correct_total,correct_number,correct units,correct_formula,% of correct numbers,% of correct formula,% of correct units,,,,Problems count
openai/gpt-5.4,nuclear,4,1,3,0,4.00%,0.00%,12.00%,,,,
openai/gpt-5.4,optics,4,1,3,0,4.00%,0.00%,12.00%,,,,
openai/gpt-5.4,thermodynamics,5,1,4,0,4.00%,0.00%,16.00%,,,,
openai/gpt-oss-120b,electrostatics,6,2,4,0,8.00%,0.00%,16.00%,,,,
openai/gpt-oss-120b,mechanics,5,2,3,0,8.00%,0.00%,12.00%,,,,
openai/gpt-oss-120b,nuclear,6,2,4,0,8.00%,0.00%,16.00%,,,,
openai/gpt-oss-120b,optics,4,1,3,0,4.00%,0.00%,12.00%,,,,
openai/gpt-oss-120b,thermodynamics,7,3,4,0,12.00%,0.00%,16.00%,,,,
openai/o4-mini-high,electrostatics,7,3,4,0,12.00%,0.00%,16.00%,,,,
openai/o4-mini-high,mechanics,6,2,3,1,8.00%,4.00%,12.00%,,,,
openai/o4-mini-high,nuclear,6,1,5,0,4.00%,0.00%,20.00%,,,,
openai/o4-mini-high,optics,4,1,3,0,4.00%,0.00%,12.00%,,,,
openai/o4-mini-high,thermodynamics,7,3,4,0,12.00%,0.00%,16.00%,,,,
qwen/qwen3.5-397b-a17b,electrostatics,5,2,3,0,8.00%,0.00%,12.00%,,,,
qwen/qwen3.5-397b-a17b,mechanics,6,3,3,0,12.00%,0.00%,12.00%,,,,
qwen/qwen3.5-397b-a17b,nuclear,6,2,4,0,8.00%,0.00%,16.00%,,,,
qwen/qwen3.5-397b-a17b,optics,5,2,3,0,8.00%,0.00%,12.00%,,,,
qwen/qwen3.5-397b-a17b,thermodynamics,6,1,5,0,4.00%,0.00%,20.00%,,,,
qwen/qwen3.6-plus,electrostatics,7,3,4,0,12.00%,0.00%,16.00%,,,,
qwen/qwen3.6-plus,mechanics,6,3,3,0,12.00%,0.00%,12.00%,,,,
qwen/qwen3.6-plus,nuclear,7,2,5,0,8.00%,0.00%,20.00%,,,,
qwen/qwen3.6-plus,optics,6,2,4,0,8.00%,0.00%,16.00%,,,,
qwen/qwen3.6-plus,thermodynamics,8,3,5,0,12.00%,0.00%,20.00%,,,,
stepfun/step-3.5-flash,electrostatics,5,2,3,0,8.00%,0.00%,12.00%,,,,
stepfun/step-3.5-flash,mechanics,5,2,3,0,8.00%,0.00%,12.00%,,,,
stepfun/step-3.5-flash,nuclear,4,1,3,0,4.00%,0.00%,12.00%,,,,
stepfun/step-3.5-flash,optics,3,1,2,0,4.00%,0.00%,8.00%,,,,
stepfun/step-3.5-flash,thermodynamics,7,3,4,0,12.00%,0.00%,16.00%,,,,
x-ai/grok-4.20,electrostatics,4,1,3,0,4.00%,0.00%,12.00%,,,,
x-ai/grok-4.20,mechanics,4,1,3,0,4.00%,0.00%,12.00%,,,,
x-ai/grok-4.20,nuclear,6,1,5,0,4.00%,0.00%,20.00%,,,,
x-ai/grok-4.20,optics,4,0,4,0,0.00%,0.00%,16.00%,,,,
x-ai/grok-4.20,thermodynamics,4,0,4,0,0.00%,0.00%,16.00%,,,,
xiaomi/mimo-v2.5-pro,electrostatics,6,2,4,0,8.00%,0.00%,16.00%,,,,
xiaomi/mimo-v2.5-pro,mechanics,6,3,3,0,12.00%,0.00%,12.00%,,,,
xiaomi/mimo-v2.5-pro,nuclear,6,2,4,0,8.00%,0.00%,16.00%,,,,
xiaomi/mimo-v2.5-pro,optics,4,1,3,0,4.00%,0.00%,12.00%,,,,
xiaomi/mimo-v2.5-pro,thermodynamics,6,2,4,0,8.00%,0.00%,16.00%,,,,
